side,entry,sl,tp,r_ratio,instId,status,locked
LONG,0.1833,0.1816142857142857,0.1875142857142856,2.5,WIF-USDT-SWAP,WAITING,0
LONG,2.336,2.3135357142857145,2.3921607142857133,2.5,ORDI-USDT-SWAP,WAITING,0
LONG,1.1465,1.1345,1.1681,1.8,PENDLE-USDT-SWAP,ACTIVE,0
